TIME [s]	Accel. [cm/s^2
14.68	4.792
14.70	18.625
14.72	24.269
14.74	11.165
14.76	-4.718
14.78	0.993
14.80	18.492
14.82	21.941
14.84	10.901
14.86	0.331
14.88	-0.886
14.90	8.182
14.92	17.836
14.94	15.981
14.96	2.370
14.98	-16.776
15.00	-22.429
15.02	-8.633
15.04	-0.956
15.06	-1.809
15.08	-0.611
15.10	-0.951
15.12	-0.610
15.14	-0.737
15.16	4.198
15.18	5.887
15.20	-0.622
15.22	-7.015
15.24	-17.113
15.26	-20.890
15.28	-16.892
15.30	-11.049
15.32	-3.172
15.34	-0.939
15.36	-5.010
15.38	-7.691
15.40	-2.820
15.42	5.502
15.44	14.765
15.46	27.975
15.48	36.713
15.50	32.586
15.52	20.527
15.54	15.616
15.56	19.830
15.58	25.610
15.60	31.538
15.62	27.275
15.64	14.490
15.66	10.766
15.68	17.106
15.70	17.771
15.72	7.422
15.74	-10.627
15.76	-24.338
15.78	-20.197
15.80	-14.648
15.82	-1.985
15.84	15.107
15.86	16.961
15.88	4.543
15.90	-7.698
15.92	-10.411
15.94	-11.283
15.96	-11.374
15.98	-10.523
16.00	-7.226
16.02	-6.197
16.04	-4.768
16.06	-0.549
16.08	11.514
16.10	21.641
16.12	21.021
16.14	21.808
16.16	18.424
16.18	9.318
16.20	5.691
16.22	-3.902
16.24	-17.911
16.26	-21.696
16.28	-15.454
16.30	-12.141
16.32	-1.544
16.34	22.798
16.36	30.040
16.38	22.837
16.40	20.372
16.42	13.404
16.44	9.080
16.46	11.146
16.48	4.516
16.50	-0.128
16.52	0.336
16.54	-5.397
16.56	-14.104
16.58	-17.797
16.60	-12.367
16.62	-6.015
16.64	-4.705
16.66	-3.573
16.68	-6.573
16.70	-5.139
16.72	-0.872
16.74	-4.531
16.76	-9.671
16.78	-16.831
16.80	-23.215
16.82	-23.944
16.84	-20.038
16.86	-12.285
16.88	-10.217
16.90	-14.115
16.92	-26.457
16.94	-40.875
16.96	-46.650
16.98	-42.606
17.00	-27.528
17.02	-20.309
17.04	-16.917
17.06	-9.962
17.08	-5.513
17.10	-5.592
17.12	-9.076
17.14	-12.602
17.16	-15.773
17.18	-13.994
17.20	-17.075
17.22	-25.404
17.24	-25.323
17.26	-13.578
17.28	4.273
17.30	24.277
17.32	35.020
17.34	29.705
17.36	14.996
17.38	5.466
17.40	6.517
17.42	9.273
17.44	13.636
17.46	17.574
17.48	20.086
17.50	18.580
17.52	12.045
17.54	1.451
17.56	-8.789
17.58	-15.117
17.60	-11.896
17.62	2.059
17.64	13.465
17.66	19.393
17.68	14.490
17.70	-6.219
17.72	-19.327
17.74	-11.727
17.76	6.932
17.78	25.831
17.80	35.600
17.82	29.068
17.84	15.915
17.86	13.517
17.88	18.051
17.90	16.790
17.92	6.573
17.94	-0.153
17.96	-2.999
17.98	5.774
18.00	22.852
18.02	31.436
18.04	27.164
18.06	17.847
18.08	13.123
18.10	11.008
18.12	11.122
18.14	6.258
18.16	-0.830
18.18	-8.775
18.20	-16.543
18.22	-18.685
18.24	-9.560
18.26	5.418
18.28	12.236
18.30	5.934
18.32	-2.015
18.34	-9.104
18.36	-7.057
18.38	4.350
18.40	12.271
18.42	12.991
18.44	4.275
18.46	-1.877
18.48	1.371
18.50	-0.327
18.52	-5.747
18.54	-6.413
18.56	-5.611
18.58	-14.348
18.60	-25.226
18.62	-26.949
18.64	-21.345
18.66	-12.960
18.68	-13.372
18.70	-17.047
18.72	-14.975
18.74	-8.022
18.76	-2.854
18.78	1.640
18.80	3.172
18.82	-3.791
18.84	-12.673
18.86	-11.334
18.88	-7.963
18.90	-2.062
18.92	8.673
18.94	12.875
18.96	-0.278
18.98	-23.795
19.00	-34.607
19.02	-25.730
19.04	-9.671
19.06	5.514
19.08	9.807
19.10	6.288
19.12	10.112
19.14	11.967
19.16	13.457
19.18	19.008
19.20	13.306
19.22	1.964
19.24	0.687
19.26	8.575
19.28	11.372
19.30	-7.862
19.32	-33.173
19.34	-46.520
19.36	-40.337
19.38	-24.055
19.40	-19.605
19.42	-11.389
19.44	3.449
19.46	9.461
19.48	11.005
19.50	3.057
19.52	-10.806
19.54	-17.076
19.56	-3.675
19.58	15.890
19.60	22.075
19.62	19.937
19.64	12.688
19.66	2.987
19.68	-0.302
19.70	5.659
19.72	13.747
19.74	15.160
19.76	12.419
19.78	18.424
19.80	24.434
19.82	22.389
19.84	24.995
19.86	19.918
19.88	8.806
19.90	6.222
19.92	-1.500
19.94	-12.316
19.96	-13.335
19.98	-12.981
20.00	-26.074
20.02	-30.700
20.04	-14.414
20.06	-7.574
20.08	-11.646
20.10	-13.725
20.12	-12.303
20.14	-2.433
20.16	6.175
20.18	13.494
20.20	16.992
20.22	10.781
20.24	6.582
20.26	20.000
20.28	35.414
20.30	37.037
20.32	34.738
20.34	35.485
20.36	37.815
20.38	33.285
20.40	27.340
20.42	22.188
20.44	2.682
20.46	-18.639
20.48	-23.494
20.50	-23.694
20.52	-32.791
20.54	-37.584
20.56	-26.354
20.58	-11.095
20.60	-6.666
20.62	-6.053
20.64	0.563
20.66	4.893
20.68	4.204
20.70	-1.830
20.72	-4.498
20.74	-2.869
20.76	-0.585
20.78	1.313
20.80	0.190
20.82	-6.743
20.84	-16.497
20.86	-13.224
20.88	-3.398
20.90	0.841
20.92	-1.269
20.94	-15.650
20.96	-29.250
20.98	-34.065
21.00	-37.602
21.02	-34.297
21.04	-26.946
21.06	-32.521
21.08	-38.482
21.10	-31.417
21.12	-12.741
21.14	8.308
21.16	17.116
21.18	15.639
21.20	2.575
21.22	-12.120
21.24	-10.496
21.26	2.905
21.28	5.819
21.30	5.738
21.32	15.585
21.34	27.991
21.36	28.448
21.38	22.975
21.40	25.760
21.42	32.059
21.44	26.636
21.46	19.397
21.48	14.454
21.50	-10.892
21.52	-37.332
21.54	-45.854
21.56	-43.177
21.58	-37.621
21.60	-22.956
21.62	-12.836
21.64	-8.602
21.66	-7.597
21.68	-3.054
21.70	9.375
21.72	9.724
21.74	-5.380
21.76	-25.204
21.78	-21.883
21.80	-1.310
21.82	7.806
21.84	1.603
21.86	-9.503
21.88	-17.423
21.90	-8.580
21.92	14.344
21.94	33.043
21.96	35.998
21.98	34.528
22.00	22.365
22.02	0.121
22.04	-2.708
22.06	3.786
22.08	3.930
22.10	-14.611
22.12	-41.741
22.14	-54.600
22.16	-39.583
22.18	-12.547
22.20	0.174
22.22	-2.601
22.24	-15.845
22.26	-13.595
22.28	8.522
22.30	30.961
22.32	52.245
22.34	67.327
22.36	53.495
22.38	18.347
22.40	-1.344
22.42	-0.401
22.44	-5.380
22.46	-23.776
22.48	-31.976
22.50	-22.968
22.52	-10.174
22.54	3.073
22.56	9.106
22.58	12.627
22.60	17.375
22.62	18.317
22.64	21.263
22.66	21.174
22.68	12.880
22.70	4.062
22.72	4.609
22.74	-0.899
22.76	-14.506
22.78	-25.115
22.80	-26.764
22.82	-23.643
22.84	-26.552
22.86	-18.591
22.88	6.541
22.90	33.150
22.92	48.005
22.94	42.442
22.96	28.751
22.98	24.935
23.00	25.342
23.02	23.321
23.04	20.665
23.06	14.889
23.08	4.164
23.10	-0.267
23.12	0.959
23.14	1.149
23.16	-6.614
23.18	-14.076
23.20	-6.866
23.22	0.493
23.24	0.235
23.26	5.883
23.28	24.720
23.30	41.964
23.32	46.577
23.34	30.194
23.36	1.116
23.38	-3.959
23.40	12.323
23.42	24.391
23.44	24.092
23.46	16.137
23.48	7.455
23.50	-2.635
23.52	-13.736
23.54	-27.838
23.56	-44.350
23.58	-51.075
23.60	-42.449
23.62	-35.085
23.64	-25.218
23.66	-9.462
23.68	-7.338
23.70	-26.040
23.72	-49.284
23.74	-60.460
23.76	-62.251
